"","species","run","run.env","time","pop","thinned"
"1","1",1,0.128917273805135,0,106,0
"2","2",1,0.128917273805135,0,0,0
"3","3",1,0.128917273805135,0,0,0
"4","4",1,0.128917273805135,0,0,0
"5","5",1,0.128917273805135,0,0,0
"6","6",1,0.128917273805135,0,0,0
"7","7",1,0.128917273805135,0,20,0
"8","8",1,0.128917273805135,0,211,0
"9","9",1,0.128917273805135,0,0,0
"10","10",1,0.128917273805135,0,0,0
"11","11",1,0.128917273805135,0,0,0
"12","12",1,0.128917273805135,0,9,0
"13","13",1,0.128917273805135,0,0,0
"14","14",1,0.128917273805135,0,16,0
"15","15",1,0.128917273805135,0,0,0
"16","1",1,0.128917273805135,1,60,0
"17","2",1,0.128917273805135,1,0,0
"18","3",1,0.128917273805135,1,0,0
"19","4",1,0.128917273805135,1,0,0
"20","5",1,0.128917273805135,1,0,0
"21","6",1,0.128917273805135,1,0,0
"22","7",1,0.128917273805135,1,15,0
"23","8",1,0.128917273805135,1,101,0
"24","9",1,0.128917273805135,1,0,0
"25","10",1,0.128917273805135,1,0,0
"26","11",1,0.128917273805135,1,0,0
"27","12",1,0.128917273805135,1,6,0
"28","13",1,0.128917273805135,1,0,0
"29","14",1,0.128917273805135,1,20,0
"30","15",1,0.128917273805135,1,0,0
"31","1",2,-1.02507630199138,0,0,0
"32","2",2,-1.02507630199138,0,0,0
"33","3",2,-1.02507630199138,0,0,0
"34","4",2,-1.02507630199138,0,12,0
"35","5",2,-1.02507630199138,0,0,0
"36","6",2,-1.02507630199138,0,0,0
"37","7",2,-1.02507630199138,0,19,0
"38","8",2,-1.02507630199138,0,105,0
"39","9",2,-1.02507630199138,0,4,0
"40","10",2,-1.02507630199138,0,57,0
"41","11",2,-1.02507630199138,0,1,0
"42","12",2,-1.02507630199138,0,60,0
"43","13",2,-1.02507630199138,0,0,0
"44","14",2,-1.02507630199138,0,107,0
"45","15",2,-1.02507630199138,0,0,0
"46","1",2,-1.02507630199138,1,0,0
"47","2",2,-1.02507630199138,1,0,0
"48","3",2,-1.02507630199138,1,0,0
"49","4",2,-1.02507630199138,1,5,0
"50","5",2,-1.02507630199138,1,0,0
"51","6",2,-1.02507630199138,1,0,0
"52","7",2,-1.02507630199138,1,23,0
"53","8",2,-1.02507630199138,1,90,0
"54","9",2,-1.02507630199138,1,4,0
"55","10",2,-1.02507630199138,1,27,0
"56","11",2,-1.02507630199138,1,0,0
"57","12",2,-1.02507630199138,1,35,0
"58","13",2,-1.02507630199138,1,0,0
"59","14",2,-1.02507630199138,1,60,0
"60","15",2,-1.02507630199138,1,0,0
"61","1",3,-1.04077493037199,0,53,0
"62","2",3,-1.04077493037199,0,0,0
"63","3",3,-1.04077493037199,0,6,0
"64","4",3,-1.04077493037199,0,49,0
"65","5",3,-1.04077493037199,0,0,0
"66","6",3,-1.04077493037199,0,0,0
"67","7",3,-1.04077493037199,0,6,0
"68","8",3,-1.04077493037199,0,33,0
"69","9",3,-1.04077493037199,0,0,0
"70","10",3,-1.04077493037199,0,5,0
"71","11",3,-1.04077493037199,0,0,0
"72","12",3,-1.04077493037199,0,31,0
"73","13",3,-1.04077493037199,0,0,0
"74","14",3,-1.04077493037199,0,22,0
"75","15",3,-1.04077493037199,0,0,0
"76","1",3,-1.04077493037199,1,76,0
"77","2",3,-1.04077493037199,1,0,0
"78","3",3,-1.04077493037199,1,8,0
"79","4",3,-1.04077493037199,1,57,0
"80","5",3,-1.04077493037199,1,0,0
"81","6",3,-1.04077493037199,1,0,0
"82","7",3,-1.04077493037199,1,5,0
"83","8",3,-1.04077493037199,1,37,0
"84","9",3,-1.04077493037199,1,0,0
"85","10",3,-1.04077493037199,1,9,0
"86","11",3,-1.04077493037199,1,0,0
"87","12",3,-1.04077493037199,1,31,0
"88","13",3,-1.04077493037199,1,0,0
"89","14",3,-1.04077493037199,1,42,0
"90","15",3,-1.04077493037199,1,0,0
"91","1",4,0.406939805679155,0,149,0
"92","2",4,0.406939805679155,0,0,0
"93","3",4,0.406939805679155,0,0,0
"94","4",4,0.406939805679155,0,111,0
"95","5",4,0.406939805679155,0,0,0
"96","6",4,0.406939805679155,0,0,0
"97","7",4,0.406939805679155,0,0,0
"98","8",4,0.406939805679155,0,0,0
"99","9",4,0.406939805679155,0,0,0
"100","10",4,0.406939805679155,0,4,0
"101","11",4,0.406939805679155,0,0,0
"102","12",4,0.406939805679155,0,0,0
"103","13",4,0.406939805679155,0,0,0
"104","14",4,0.406939805679155,0,190,0
"105","15",4,0.406939805679155,0,0,0
"106","1",4,0.406939805679155,1,129,0
"107","2",4,0.406939805679155,1,0,0
"108","3",4,0.406939805679155,1,0,0
"109","4",4,0.406939805679155,1,120,0
"110","5",4,0.406939805679155,1,0,0
"111","6",4,0.406939805679155,1,0,0
"112","7",4,0.406939805679155,1,0,0
"113","8",4,0.406939805679155,1,0,0
"114","9",4,0.406939805679155,1,0,0
"115","10",4,0.406939805679155,1,7,0
"116","11",4,0.406939805679155,1,0,0
"117","12",4,0.406939805679155,1,0,0
"118","13",4,0.406939805679155,1,0,0
"119","14",4,0.406939805679155,1,106,0
"120","15",4,0.406939805679155,1,0,0
"121","1",5,-1.18257184791879,0,0,0
"122","2",5,-1.18257184791879,0,0,0
"123","3",5,-1.18257184791879,0,0,0
"124","4",5,-1.18257184791879,0,78,0
"125","5",5,-1.18257184791879,0,0,0
"126","6",5,-1.18257184791879,0,0,0
"127","7",5,-1.18257184791879,0,29,0
"128","8",5,-1.18257184791879,0,0,0
"129","9",5,-1.18257184791879,0,4,0
"130","10",5,-1.18257184791879,0,42,0
"131","11",5,-1.18257184791879,0,0,0
"132","12",5,-1.18257184791879,0,57,0
"133","13",5,-1.18257184791879,0,0,0
"134","14",5,-1.18257184791879,0,150,0
"135","15",5,-1.18257184791879,0,0,0
"136","1",5,-1.18257184791879,1,0,0
"137","2",5,-1.18257184791879,1,0,0
"138","3",5,-1.18257184791879,1,0,0
"139","4",5,-1.18257184791879,1,69,0
"140","5",5,-1.18257184791879,1,0,0
"141","6",5,-1.18257184791879,1,0,0
"142","7",5,-1.18257184791879,1,30,0
"143","8",5,-1.18257184791879,1,0,0
"144","9",5,-1.18257184791879,1,6,0
"145","10",5,-1.18257184791879,1,49,0
"146","11",5,-1.18257184791879,1,0,0
"147","12",5,-1.18257184791879,1,54,0
"148","13",5,-1.18257184791879,1,0,0
"149","14",5,-1.18257184791879,1,101,0
"150","15",5,-1.18257184791879,1,0,0
"151","1",6,-0.114333221075177,0,128,0
"152","2",6,-0.114333221075177,0,0,0
"153","3",6,-0.114333221075177,0,11,0
"154","4",6,-0.114333221075177,0,77,0
"155","5",6,-0.114333221075177,0,0,0
"156","6",6,-0.114333221075177,0,0,0
"157","7",6,-0.114333221075177,0,0,0
"158","8",6,-0.114333221075177,0,89,0
"159","9",6,-0.114333221075177,0,0,0
"160","10",6,-0.114333221075177,0,4,0
"161","11",6,-0.114333221075177,0,0,0
"162","12",6,-0.114333221075177,0,6,0
"163","13",6,-0.114333221075177,0,0,0
"164","14",6,-0.114333221075177,0,78,0
"165","15",6,-0.114333221075177,0,0,0
"166","1",6,-0.114333221075177,1,72,0
