"","species","lambda.mean","lambda.env","alpha.1","alpha.2","alpha.3","alpha.4","alpha.5","alpha.6","alpha.7","alpha.8","alpha.9","alpha.10","alpha.11","alpha.12","alpha.13","alpha.14","alpha.15"
"1","1",1.09988446708303,0.436794205050777,0.01,0.000761997653480832,0.000936120340700124,0.00123848481595885,0.000115639040922532,0.00100968264169095,0.000832973215485569,0.000771953103687376,0.000794654203760259,0.00119735765314165,0.000868623261234162,0.00108593105585276,0.000930536481779471,0.000798567672623122,0.000691125935650888
"2","2",0.118516932358034,0.110051520231836,0.00131758125415008,0.01,0.000597462826792642,0.00130485125466663,0.000880855445307552,0.000878531612210319,0.000946945020197617,0.00125485603947356,0.00118692496763124,0.00064778317942462,0.000542422907952689,0.000945858894543027,0.000831136483235354,0.000834935571031418,0.000977859935099905
"3","3",1.03742847475223,0.21442168484414,0.00159765116891144,0.00115160950644224,0.01,0.00240405514081876,0.00176088586553906,0.0012959369999587,0.00202030178499755,0.0020670844520957,0.001532006906403,0.0015396433572096,0.00144469383857317,0.000590734217280483,0.00290057334657853,0.00204411607265354,0.00103658141442096
"4","4",0.972822634968907,0.373952166898536,0.00154713878956377,0.00144024312501294,0.00105737843286624,0.01,0.000816438932238849,0.000653818253160103,0.00118455196422198,0.000903492852208749,0.000879557941988762,0.000955832850076063,0.00113137558875022,0.0015179948322961,0.00166982537118499,0.00125723786917991,0.000577654478789266
"5","5",0.636693230364472,-0.564144815549389,0.00212038481732614,0.00269879456923814,0.00195177022071141,0.00273180438479235,0.01,0.00316328917896699,0.00187932439526064,0.00264175156569378,0.00169199064569859,0.00315913743619141,0.00252700651260027,0.00238373123980763,0.003193576543205,0.00362456087391385,0.00338615213673111
"6","6",1.17353459168226,-0.500655381277597,0.00381412157363631,0.00214231929830454,0.00122954424534115,0.00326437661198854,0.00164949924442342,0.01,0.00269864576552951,0.00352723265357268,0.00227425596875285,0.001135025277151,0.00312431426236492,0.00213880176076014,0.00205794288425499,0.002521948942523,0.00241979242206892
"7","7",1.1040336296428,0.246212195806359,0.00100974212418887,0.00100256065393616,0.00128030416963747,0.000944471870614231,0.00123882327422063,0.000683723327632722,0.01,0.00101798395056165,0.00104698679397256,0.000832833139876917,0.00125206598148968,0.00147857329127084,0.0010243845544586,0.00140600831116356,0.000720880223556444
"8","8",0.0985138410469517,0.531188899695879,0.00255399335185648,0.0017996440999654,0.00248028141758568,0.00208596425181878,0.00200646190404691,0.000708952929887754,0.00109285523447367,0.01,0.00193116272469957,0.00207406570459477,0.00204029780836516,0.00108086004812714,0.00177453204425693,0.00101145977039671,0.000883498991834783
"9","9",0.23111593304202,-0.327416887232656,0.000820116121289042,0.000631124556687978,0.00116493405223532,0.000380840860145909,0.00131613114721355,0.00136726718985446,0.000791025450757822,0.000787536972779949,0.01,0.00120541756746465,0.00102674174857056,0.00110643882664982,0.000662590528495077,0.0010516869443785,0.00121774440165178
"10","10",0.854972001048736,-0.86778261519539,0.00130760811828729,0.00136122803423416,0.00104632819591638,0.0011299801590413,0.000833847677300249,0.00137329851814479,0.000997013547579947,0.000815084472005617,0.000924438227878598,0.01,0.00126758257343473,0.00111010484736443,0.00067690177252906,0.000955562960142354,0.00156706788649674
"11","11",1.23565114557277,0.805365040770752,0.00104914514310375,0.00140152256378299,0.00140381047121345,0.00106940237236761,0.000956081023985172,0.00082714154736696,0.00103027179494896,0.000828030790806383,0.00140869094251899,0.00110395560380152,0.01,0.000626549192160948,0.00082018571315628,0.000606052425404238,0.00100694244125092
"12","12",1.35631954483688,0.216576409821423,0.00144767741566797,0.000865909483009521,0.000825552128125645,0.000854541989836946,0.000927041611151574,0.00119174468986968,0.000985737678308764,0.000843588858924404,0.000367222814278971,0.000624423254169691,0.00113691232482528,0.01,0.00102178095424202,0.000852328114945653,0.000478878270595046
"13","13",0.594946196652018,-0.0298227533429174,0.000783208850460589,0.000834885517906573,0.000438871878683382,0.0008624536149478,0.00139381925001755,0.000414319813900371,0.000978114539792416,0.000414919180828738,0.00101449744140029,0.00122346572614228,0.000409285098758203,0.000915383179454902,0.01,0.00111478760647107,0.000864067081029626
"14","14",1.43955036462285,0.843660403024395,0.000755163969096279,0.00068256675298937,0.000971660950927665,0.000858279906485409,0.00144063842172916,0.00139756686997307,0.0008638825152402,0.000873328006486734,0.0011910130217182,0.00121602750515847,7.64980435146599e-05,0.00123435598173486,0.000984136977493682,0.01,0.00096541171763843
"15","15",0.361745455884375,0.56643066630654,0.00144781964603813,0.00130596184742133,0.000965687308167849,0.00105828447465647,0.000735961657702046,0.000621166258316097,0.000858260410674711,0.00102387725630335,0.00101539110786821,0.00130383183846983,0.000917517947837411,0.000923865230789451,0.00116842943856983,0.00126360107305578,0.01
