"","species","lambda.mean","lambda.env","alpha.1","alpha.2","alpha.3","alpha.4","alpha.5","alpha.6","alpha.7","alpha.8","alpha.9","alpha.10"
"1","1",2.25259346328676,0,0.01,0.00102704900013605,0.000857908839034468,0.00114146630461874,0.00100815693330485,0.000542002878941184,0.00123613422313091,0.00123537957554202,0.000550944823242261,0.00145731144830894
"2","2",4.89181676972657,0,0.00143031864222624,0.01,0.000786829191924279,0.000763334071898649,0.00136216415267589,0.00120661866052459,0.00178450219406662,0.000782420127614486,0.000501361016952243,0.00116523326428965
"3","3",2.21030121762305,0,0.000737249856550636,0.000900129198323441,0.01,0.000612209289010788,0.000925465695539358,0.00105812281874619,0.000530984046929166,0.000492990321714395,0.00117121271930938,0.00126305365836081
"4","4",4.70480025187135,0,0.000879022949469908,0.00132486966812694,0.00115623432213056,0.01,0.00157085466148802,0.000535756956074957,0.000888681678839593,0.000881644858084768,0.0011635761050779,0.00104554476807362
"5","5",2.81535424850881,0,0.00096837266141707,0.000691871777405334,0.000763024687522712,0.00118334343571733,0.01,0.00136870459688121,0.00117807640468789,0.00149855090640211,0.000448485092187636,0.000852873423482844
"6","6",4.66719207260758,0,0.00280645819232051,0.00499677606065153,0.00174991400081941,0.00231534049050657,0.00361092127038807,0.01,0.00223379487111587,0.00333375775358973,0.00447424569724504,0.00348378246089292
"7","7",2.42061046045274,0,0.00248967302668063,0.00383744056414968,0.00121449175262708,0.00143169739961186,0.00237466984326324,0.0016790487819954,0.01,0.00236212163711812,0.00191616637038926,0.00176365053228562
"8","8",3.45187409035861,0,0.0010302925287316,0.000693562782407898,0.000836878007016021,0.000659906990607013,0.000917132675020497,0.00141158387147523,0.00114429741624881,0.01,0.00129203767386284,0.000878085180185284
"9","9",2.44823792297393,0,0.00143050751361955,0.00142650717053688,0.00107253492645171,0.000625215098389496,0.000892749563936379,0.000432897624671523,0.000932566072544629,0.00079210545857492,0.01,0.000977142204582842
"10","10",2.3399951485917,0,0.00948741686959669,0.00757328640739241,0.00726595001365033,0.00807055005529535,0.00632145345322296,0.0091683301361538,0.00421265092708488,0.0054085704284501,0.00987187194108407,0.01
