"","species","lambda.mean","lambda.env","alpha.1","alpha.2","alpha.3","alpha.4","alpha.5","alpha.6","alpha.7","alpha.8","alpha.9","alpha.10"
"1","1",2.21544393897057,0,0.01,0.00117193215273517,0.000830482263831926,0.00120868791461207,0.000546581112712589,0.000740255211907405,0.000688950056211394,0.000792650809054987,0.000624451645050111,0.000929070212561197
"2","2",3.11852585058659,0,0.00128520871548653,0.01,0.000936913616619985,0.000630680958583614,0.00102049162938379,0.000926476952491415,0.000639039787557042,0.00130873564207508,0.000771970860689081,0.000731439623777923
"3","3",2.96165173128247,0,0.00122071048295228,0.00131106401166926,0.01,0.000695556078737739,0.000724455463962045,0.000659362451683802,0.00106327622419113,0.000511884296756697,0.00111911529848866,0.000808048065538012
"4","4",1.43802686873823,0,0.00126438333860302,0.00080606121577417,0.000957064871607704,0.01,0.000997925036905878,0.000966513908976413,0.000934025083767704,0.000978484546193723,0.000736603836174812,0.0011832471974748
"5","5",2.77347362693399,0,0.000653410449554529,0.000755986306355718,0.000841299671850231,0.00125033436788065,0.01,0.000930279572559134,0.000920529778928396,0.00140202091202569,0.0016031086441363,0.00101413160884482
"6","6",4.75560021959245,0,0.000543461356313702,0.00130153655424987,0.00102705891749187,0.000851237489597933,0.000957229195718578,0.01,0.00132688675501162,0.00135460284050843,0.000539653053440945,0.000774347908996611
"7","7",2.54952033702284,0,0.000696641564666509,0.000757920911571868,0.000878907830891963,0.0010919924621761,0.00148964269393074,0.00133869150940499,0.01,0.000756502058076756,0.000701714693789833,0.00122982316483885
"8","8",2.48362739011645,0,0.00275088448884661,0.00315572682812637,0.0013219673952847,0.00303052826760388,0.00234704017104438,0.00295787688294107,0.00386634756119631,0.01,0.00295629778228728,0.00154009171191092
"9","9",1.90494604688138,0,0.00123704575406238,0.000361938978676641,0.00128386434440205,0.000841664828903208,0.00111931856243361,0.00044343940800895,0.000894948951759514,0.00136546832062766,0.01,0.00139171965879634
"10","10",1.19260337669402,0,0.000789513619223351,0.000621300712475273,0.00101997990664475,0.00111693414397608,0.00133303340989298,0.000908024587145886,0.000851833786040986,0.000869106875615607,0.000716445778814359,0.01
