"","species","lambda.mean","lambda.env","alpha.1","alpha.2","alpha.3","alpha.4","alpha.5","alpha.6","alpha.7","alpha.8","alpha.9","alpha.10"
"1","1",2.79083838313818,0,0.01,0.000886465402406117,0.000972387039919419,0.00119027032193727,0.00114221321843177,0.000962811479492201,0.00126499345075687,0.00101965660496732,0.000753662450165669,0.000804075571047467
"2","2",4.17120631132275,0,0.00112332090771779,0.01,0.000925614161726406,0.000738384454623973,0.00123664509745423,0.000921361633115718,0.00133035022480341,0.00134791509339592,0.00100582900958894,0.000646552534106611
"3","3",1.92926701437682,0,0.00142784002451133,0.00125985613640305,0.01,0.00141414034047366,0.00120205336371166,0.000729332526482408,0.00115266724517997,0.000761853289995032,0.00105302312164532,0.00148981834237853
"4","4",2.98759867157787,0,0.00504631220893286,0.00448430586949935,0.00800228525441271,0.01,0.00469224806299198,0.00605441975289137,0.00800003256364522,0.00439658328762714,0.00487930188887648,0.00838176361150796
"5","5",2.34124137368053,0,0.00131033511690668,0.00083801658255727,0.0011912483632734,0.00102324204472086,0.01,0.0010782643916023,0.00177406811821466,0.000920553396947117,0.000757882752945584,0.00116108152270119
"6","6",3.84648831468076,0,0.00035409340506299,0.00133716105682687,0.000519297159000501,0.00127647414390762,0.00128708657817184,0.01,0.00116397867580668,0.00115183468358269,0.0013925818886224,0.00142397112578621
"7","7",2.40580122265965,0,0.000480296156458991,0.00117419707437578,0.00112632879856203,0.000641821411804631,0.000758658180676566,0.000575288500678046,0.01,0.00123159504664576,0.00084988748303842,0.000790676309435036
"8","8",2.60702256020159,0,0.00246702432289431,0.00210790013570083,0.00193873998609848,0.00259766465163016,0.00129011798533855,0.00249559466428993,0.00188966126681876,0.01,0.000684062818363821,0.0025001127455261
"9","9",3.91746321786195,0,0.00068666743556423,0.000854802500780513,0.000592086769462783,0.000707498667272457,0.000555924061931242,0.000590487398390767,0.000447016613896593,0.00066177145026411,0.01,0.000253491293769045
"10","10",1.55819805711508,0,0.000305809546911144,0.000725664235338787,0.00106112506858374,0.0014409402202195,0.000912724674938619,0.00128069445465856,0.00124158828856356,0.00142985094565129,0.000704319814380682,0.01
