"","species","lambda.mean","lambda.env","alpha.1","alpha.2","alpha.3","alpha.4","alpha.5","alpha.6","alpha.7","alpha.8","alpha.9","alpha.10","alpha.11","alpha.12","alpha.13","alpha.14","alpha.15","alpha.env"
"1","1",1.15088146459311,0.893955509500292,0.01,0.00113363084552046,0.00125570204306005,0.00102274412572561,0.000808793905418143,0.000876842832229689,0.0010335681004407,0.000563205008436169,0.000891212770875633,0.000892953217962126,0.000868238649085326,0.000961853847552012,0.00109296020311314,0.00138324212005725,0.00161453188496595,0
"2","2",1.26912435831036,-0.689781614456662,0.00100607499363133,0.01,0.00125434656479082,0.00104911215281677,0.000731711929930316,0.000463890810028596,0.00107425313168322,0.00114497204063138,0.00172513380042959,0.000715331144316765,0.000453931839873245,0.000403251447067944,0.0012026267051145,0.00018651806441163,0.00100194639879437,0
"3","3",0.61958896543365,-0.298081600703217,0.000948038772324141,0.000493944710894061,0.01,0.000522239528123481,0.00161159826192552,0.00122992451101326,0.00131850638331418,0.000908851639584298,0.00120444976433222,0.00126191932565498,0.00201242953794085,0.00082923914086171,0.000832851191549351,0.0004429056774709,0.00066665235390256,0
"4","4",0.579895478789695,0.744760752801344,0.00102435801020491,0.00103219372421494,0.000742021530735026,0.01,0.000772466469975784,0.000772311237007622,0.00108864972687327,0.000510391280255248,0.00132592979320998,0.000853949621549544,0.00136624625925393,0.000670612771952447,0.000971944183948835,0.000909683074021335,0.000796517201301237,0.694079206790775
"5","5",1.4109560160432,-0.276277238618109,0.000754174592982944,0.000772851354349316,0.00137486095310624,0.000809826322910678,0.01,0.00179008747230803,0.00149068393921281,0.00131968437776122,0.00156656840956597,0.00129517005650352,0.000459669148481755,0.00074338960624912,0.000861182833306815,0.00119273513380382,0.000494494649675783,0.940110101830214
"6","6",1.09831124148332,-0.0905975855840757,0.00172142041343074,0.00135660505585241,0.000786192747750775,0.00110152427942056,0.000943610384200525,0.01,0.000794450759798295,0.00131211874856514,0.00109234471566947,0.000886260137988401,0.00112839424693164,0.000815033061803261,0.00104173257689964,0.000460724913784703,0.00114893273536472,0
"7","7",0.486277985852212,0.051812070337828,0.000267170297170294,0.000254114930949434,0.000315206960043846,0.000254863628420619,0.000340826339427617,0.000376804505242828,0.01,0.000256839615758864,0.000257127441789917,0.000213419298623348,0.000300401159503477,0.000286154326283574,0.000300416923687436,0.000235869489733096,0.000263181714841778,0
"8","8",0.697852595010772,-1.11364652198946,0.00292149885319513,0.00199552540982647,0.00324985032684169,0.00234850589694506,0.00131463752168492,0.00220272767354103,0.00314900231802655,0.01,0.00175544529320264,0.00346472376061624,0.00127467800141271,0.00217478700472991,0.00185274898284088,0.00205742213609735,0.00224092240704282,-0.766499661840498
"9","9",1.08808227803092,-0.32501835406895,0.00133742873566491,0.000765784364410089,0.000734848408543811,0.000392399112708392,0.00069047498353504,0.000913189761583191,0.00153209331415416,0.00126056931323424,0.01,0.00103994413780059,0.000713349205586878,0.000429688822314824,0.000839953208489603,0.00111214022626786,0.000882965418936788,0
"10","10",0.159258220461197,-0.732691716128984,0.000548956243675917,0.0010064461241561,0.000549839034560882,0.000582984093491575,0.000433866439805116,0.000416909149507634,0.000701060268236489,0.00057957572427912,0.000481361429881574,0.01,0.000794730551450274,0.000347536421757331,0.000498711872488124,0.000613437036777619,0.000505431126528664,0
"11","11",1.39066916063894,-0.0786280783189161,0.00141543791531277,0.00124863159640231,0.000994236299711652,0.000931152958699784,0.00104875954427983,0.00061841186111915,0.00096219374657392,0.000815842619218781,0.00114097069008471,0.000864051014103583,0.01,0.00153834899268096,0.000819726360698907,0.00151663895579654,0.00083356058261586,0
"12","12",0.172984255361371,0.669566943692159,0.000969840699511599,0.000840536049477077,0.00056939220638035,0.000661238282157886,0.000885765969617615,0.00122848096567482,0.00106825250945493,0.00122654918136875,0.000919026005179493,0.000616118940621341,0.000496540095331601,0.01,0.00069930302633925,0.00127213428633216,0.00087035401766131,0
"13","13",1.28412111767102,-0.167534974240161,0.00150414479686235,0.000757049937056656,0.000809349234613882,0.000749602295661412,0.00122353875109643,0.00135937241315159,0.000359149591790621,0.00119188060886345,0.000996323654146092,0.000605289081329556,0.000709350515265871,0.00073816766949961,0.01,0.000240167393733678,0.0014385701518674,-0.377655774820596
"14","14",0.322524928953499,0.18529531723323,0.00062436608650818,0.00027854154087547,0.000327796074533258,0.000683761703179211,0.000508084408366199,0.000813688509339775,0.000670987007676388,0.000588671961023489,0.000425628382822566,0.000696566821738459,0.000134763980280364,0.000431499710829256,0.000709448353641123,0.01,0.000480924304503172,0
"15","15",1.04935675940942,-0.365737701135435,0.00117913352963065,0.00110434433854861,0.00110577655932543,0.000964862716155281,0.000718114121583162,0.000893008017973137,0.000618946479457169,0.000925919421511697,0.00108512174163556,0.00141908145286226,0.00107880065587565,0.000677477322223335,0.0011686398364599,0.000950951845428855,0.01,0
