"","species","lambda.mean","lambda.env","alpha.1","alpha.2","alpha.3","alpha.4","alpha.5","alpha.6","alpha.7","alpha.8","alpha.9","alpha.10"
"1","1",0.760430640075356,-0.541862596915393,0.01,0.00109389119904691,0.000849136827268178,0.000651425406984391,0.000980368351619991,0.00130809316167423,0.000920195797424833,0.00124068723407146,0.000979907965254057,0.00108251559512721
"2","2",0.901685879915021,-0.0614489358044634,0.000488532829551688,0.01,0.00131488485529608,0.000545211716452277,0.000616482478845478,0.000878977739863039,0.00105609339892219,0.000829148304545587,0.000922444729988287,0.0010280876686395
"3","3",1.3806637187954,-0.69438325893521,0.00116199160235503,0.00075284947241371,0.01,0.00126850040811177,0.00118294180813271,0.00120189285762597,0.00141367294130552,0.000978431224083848,0.000758741678304104,0.00087669642638959
"4","4",0.840838651405647,0.164043735019037,0.0010764854101491,0.000803268541709138,0.000939315081176951,0.01,0.00085772184822369,0.000873594705609286,0.00151193063225972,0.000537384009387781,0.000807785479992204,0.00118004239866766
"5","5",0.160464520566165,0.307062733243491,0.00154289088293033,0.000819617243409125,0.00133253759109852,0.000775166455369676,0.01,0.000763739141870705,0.00126223778410889,0.000860184358578273,0.000588961750450865,0.000595019000910937
"6","6",0.11158733884804,-1.03564165945294,0.00107297568938335,0.00118064961067169,0.000941072266262673,0.000601642784161409,0.000752137922778339,0.01,0.0003990199565984,0.00135911666774319,0.0010535963753979,0.000811936326867268
"7","7",1.26576906396076,-1.04561614358304,0.00117916829228807,0.00133167408550567,0.000448333681684476,0.000760699977376299,0.000200871230973624,0.000808505983000813,0.01,0.00118768199212628,0.00101802317960347,0.000840034847729804
"8","8",0.0993386922637001,-0.213215215109418,0.00240073583309824,0.00269456021212621,0.00221108959604142,0.0024452880145077,0.00245660536236088,0.00320626239067679,0.00313086215252147,0.01,0.00168682194533873,0.00221576710200298
"9","9",1.39320848335046,-0.23760541732627,0.000421528470247507,0.000534346999298064,0.00118545278115096,0.00114386300989485,0.000903278136880365,0.00110614795871843,0.00108657812538905,0.00152352404122993,0.01,0.00101463805088694
"10","10",0.286239729844965,-0.705249913585928,2.63724979803529e-05,3.2115415516184e-05,5.22692551899444e-05,4.74828187485421e-05,3.17317747493025e-05,5.09889792114416e-05,3.75062020666556e-05,3.98960931306914e-05,5.35731016804356e-05,0.01
