"","species","lambda.mean","lambda.env","alpha.1","alpha.2","alpha.3","alpha.4","alpha.5","alpha.6","alpha.7","alpha.8","alpha.9","alpha.10"
"1","1",1.04027984756976,-1.91851981878248,0.01,0.00112041406547978,0.00136392896911335,0.00064158145460555,0.000662595407432544,0.00122590423623498,0.000849523413876895,0.000704410058222634,0.00102668708935196,0.0010407935255177
"2","2",2.12199222296476,-2.34620652837795,1.56410566130806e-05,0.01,1.1230076039658e-05,1.78770830255677e-05,1.89546922889135e-05,1.14264480643624e-05,8.04464151783377e-06,9.98020741536658e-06,1.22123431321033e-05,1.76995638696151e-05
"3","3",2.08717559557408,-0.381608844071712,0.000137547943601114,0.000105275500330829,0.01,0.00010912713219404,0.000179477857777431,0.000154215336367065,0.000114678597136977,0.000166980869837468,9.21629611208062e-05,0.000159633770066596
"4","4",2.32229609787464,2.98975195929611,0.000938352049300262,0.0012493635124943,0.00142506351948883,0.01,0.00118289201574558,0.00130552570815056,0.000771139353385156,0.00106563464296921,0.000667291721419815,0.000867694096982559
"5","5",4.3969203568995,1.27719165473008,0.00159027178432134,0.00126862857657328,0.00140183573654632,0.00078976860431531,0.01,0.00166779502446045,0.00167128167830933,0.00110239342610854,0.0012227854969843,0.00147414501537352
"6","6",3.64125789981335,-3.14652548140021,0.000718639334174836,0.00134770232490476,0.000534950924240641,0.0018565203836041,0.00143393985759349,0.01,0.000664482149369591,0.00119456000743726,0.000849158155828157,0.00131794116689679
"7","7",1.87085101380944,-2.61409536632194,0.00108849816268938,0.00133466129441957,0.000875486513706839,0.000392130703144957,0.00106875707343297,0.00112714916052591,0.01,0.00124223290122694,0.000559417349425376,0.00119785681528097
"8","8",4.50029687676579,-1.48679957795244,0.000878647726683484,0.00133433073121799,0.00091682128773936,0.00126774547946939,0.00115616154149188,0.00121582875909294,0.00120108903601864,0.01,0.000697105718102318,0.000991240073013612
"9","9",1.55412563495338,-0.931141142015931,0.00549786303569689,0.00159240994648596,0.00449791360676776,0.00450167402733308,0.00305731965328116,0.00366426386744604,0.00326715238559725,0.00454390965347556,0.01,0.00302481369265663
"10","10",1.89119307510555,-3.47954884385955,0.00602456419792463,0.00510530192183304,0.00276027034613267,0.00414264059033647,0.00695806476421978,0.00519329282365341,0.00193859056672096,0.00291554362961751,0.00364120432223743,0.01
