"","species","lambda.max","z.env","sigma.env","alpha.1","alpha.2","alpha.3","alpha.4","alpha.5","alpha.6","alpha.7","alpha.8","alpha.9","alpha.10","alpha.11","alpha.12","alpha.13","alpha.14","alpha.15","alpha.env"
"1","1",3.27127690799534,-0.00177546320273658,0.315255951136351,0.01,0.000851365595881535,0.000676018697532981,0.00169294981512234,0.000988716653581977,0.00171088459736703,0.00118791947588999,0.00111378262251937,0.00197013166809026,0.00154859106946127,0.00121175157553291,0.00161517074543611,0.00123558748407163,0.00139995328297737,0.00195632259862747,0
"2","2",1.38923860620707,-1.86448877513711,0.209935730323195,0.0101661195630242,0.01,0.0132628252149643,0.0073278354527543,0.00839209541505347,0.00671238033447828,0.0128058395695802,0.0108123333486448,0.00782883998741451,0.00521535243570592,0.00852259823801532,0.00785916188008793,0.0105360615319492,0.00273641894937053,0.00779573519633875,-0.691663333214819
"3","3",2.06600232888013,-0.12524634079958,1.27941389475018,0.00105654169973141,0.00100565695410717,0.01,0.00096932985147824,0.0009676173998976,0.000616369311214226,0.000833716643326146,0.000901081391410885,0.00123305940159294,0.0009615799646332,0.00107961256478902,0.00098720455024558,0.00127243028876789,0.00139331099265611,0.000895734008552242,0
"4","4",2.85582742094994,-0.0163597251419761,0.63016708754003,0.0008790359507959,0.00133145521231224,0.00115803120209733,0.01,0.00124934991787413,0.00102315064387545,0.00137683444043105,0.00122342478783881,0.000772507590217308,0.00103261738215627,0.00117505128405763,0.000995311615347762,0.00150455382288089,0.00124770414308554,0.000382397591918463,0
"5","5",2.25966886430979,1.73243196247934,0.832874158397317,0.000891473850355466,0.000559375352085871,0.000910763376828601,0.000969409602063641,0.01,0.00129840556547943,0.00181901353721721,0.000857099977912432,0.000921032523288937,0.000913498034125193,0.000993525412175949,0.000476815253148007,0.000413369942862079,0.00161344051721615,0.000420751108699012,0
"6","6",2.87105864472687,-0.270485883340356,0.798756703734398,0.00138484772301468,0.000820978942536529,0.00147525299471841,0.0008491531919334,0.000884333340585339,0.01,0.000935911704096535,0.00110263026680684,0.00114423438350091,0.0013895831910463,0.000470602080302366,0.000554629966061393,0.000593444338036423,0.000494676536032663,0.00127899132803267,-0.00772507209330797
"7","7",4.48690459132195,1.06578525919302,1.36772798188031,0.000822112186569007,0.00169850323167516,0.00043712426421305,0.000920903281031353,0.000811383169109127,0.000834810256793627,0.01,0.00101980669187444,0.000482651380542052,0.00119328907112994,0.00120770614450264,0.000542370171688803,0.000608869755816654,0.000783206249979064,0.000957413744014989,0
"8","8",4.91665529925376,0.890152142562387,12.4191269569828,0.00153349142985063,0.000705051835950686,0.00120094404270883,0.00114097560353225,0.00164512819576379,0.00178158516892717,0.00104339980807567,0.01,0.000704941344190707,0.0014574571714965,0.00101933382573862,0.00124912708880076,0.000968875298976536,0.000930578988022084,0.00140004646389198,0
"9","9",4.02012759074569,1.28303198020002,1.10604680422693,0.00138081630210655,0.000857693024111531,0.00109346811276442,0.000838593151324665,0.000872687560076137,0.000658802234072888,0.0014750536128392,0.000776617060265733,0.01,0.00127986407393999,0.00102244668783318,0.000603283200763247,0.000741424160795929,0.00137111997374923,0.000899282099418593,0.018265466671437
"10","10",2.99343311041594,1.17028433306335,3.1260399071682,0.00160423980057352,0.0019926669940623,0.00136640530823776,0.00149101025986027,0.00145664778256634,0.00194541683429308,0.00147264773371054,0.00139210643837108,0.00164271981193563,0.01,0.00156533089104818,0.00103988616831411,0.00118011891428706,0.00189765101909101,0.0016822533011205,0
"11","11",4.29406519513577,1.0249067193914,0.867124817334116,0.000622179722217089,0.000621922832078385,0.00139353431871919,0.000577879278577617,0.00134893170322553,0.000879605255840272,0.000773295966931267,0.000767343641744355,0.00126419939750575,0.00103558728255525,0.01,0.000970103066182619,0.00112251707095858,0.00048641450428046,0.00124650781275792,0
"12","12",2.27663123328239,-0.0168922581504017,0.0721544567495584,0.0011977317763205,0.00057559399147979,0.00111109012638078,0.00140988907866079,0.00135214230202056,0.00184339977601059,0.00122125924571018,0.00147345456688185,0.00103455624410818,0.00145077945223852,0.000672948628828495,0.01,0.00103485242165217,0.00136380889491972,0.000490427920408448,0.354258993640542
"13","13",3.67726392112672,0.923165141982436,0.198195425789255,0.000914025492493292,0.00119535285320534,0.00114363000116176,0.000953204588703882,0.00112947911732163,0.00119438419831083,0.00101733731505954,0.00138765450379123,0.000902522741306818,0.00149571741636114,0.00136890105630791,0.000853036739269664,0.01,0.000994100696719217,0.000488353685141792,0
"14","14",1.74619642458856,0.299989183867062,0.396225751377642,0.00106413787963158,0.00102457787949638,0.00108753470752112,0.000622906787292638,0.00078699993835086,0.000838332262509659,0.0010338472017854,0.00080324088390957,0.000453320564061182,0.000419554030915316,0.00110260286370378,0.00102089446927146,0.000770286510926658,0.01,0.000838945497655614,0
"15","15",1.43415387533605,0.281557960470766,10.3287746443782,0.000653543302066139,0.00100487248268133,0.00116784621482107,0.000701945945459506,0.000832758662542985,0.000802167261187875,0.00108681794831137,0.000918301526663031,0.00113394351467244,0.000973285026742091,0.000925221833487725,0.000917868259863509,0.00165736954633982,0.00100618739069676,0.01,0
