"","species","lambda.mean","lambda.env","alpha.1","alpha.2","alpha.3","alpha.4","alpha.5","alpha.6","alpha.7","alpha.8","alpha.9","alpha.10"
"1","1",4.54367266967893,2.32613346797396,0.01,0.00106944343403807,0.000961376936406794,0.0010535531344545,0.00127005085763958,0.00115012605830665,0.000916811608836324,0.000918765898094579,0.00116116789410311,0.00130966802600608
"2","2",3.99300605524331,0.648295136601765,0.000762626646187565,0.01,0.00110882407914976,-0.00016258905651227,0.00101921528217658,0.00107340113887002,0.000929672452633097,0.000429486391001317,0.0014503892415426,0.000732659733629082
"3","3",1.82330552954227,0.659792484067598,0.00130078661553958,0.000606265542787342,0.01,0.000936160433158362,0.00112359688921276,0.0013188876766395,0.00028478697809975,0.000733355978317097,0.0008440674188802,0.000860877673403237
"4","4",4.97805153019726,-2.5244160125796,0.00184699693173124,0.000893078513545016,0.00108669132903884,0.01,0.00119943876085804,0.000756221996509012,0.00118339562732137,0.000993125236565173,0.00127252954115081,0.00115815701549655
"5","5",3.06605084612966,1.5151606158622,0.000879698933182532,0.00131298492158622,0.000908237644045411,0.000746260477428051,0.01,0.00100307038767464,0.00116200231952273,0.00107294793658959,0.00118603082615064,0.00112652042034834
"6","6",1.17782024946064,-0.311303141980714,0.0013439121809949,0.00112335455373643,0.000779035623221783,0.000985474868517622,0.00113475627889127,0.01,0.000489642265080154,0.00108132372503354,0.00123072804114998,0.00153144435652599
"7","7",3.36381497047842,-2.69317503128754,0.000745403147662291,0.000165960788335967,0.0008791037939524,0.000802677125230969,0.000622205581834275,0.00132625437605249,0.01,0.000654463262653449,0.00108464078677889,0.00150612473817562
"8","8",4.56962722353637,1.91586020235163,0.000365736227742852,0.000522815484715717,0.000538228150059577,0.000844703726086878,0.000469259701637123,0.00071263980137184,0.000886741685776189,0.01,0.000509456434540403,0.000783845829976584
"9","9",1.06021100841463,-0.606563358539845,0.000964843457724662,0.000523453579908659,0.00154426029700709,0.00121002167315541,0.00126368298592216,0.0012428480049658,0.00117507409202421,0.000962364922259948,0.01,0.001277368089741
"10","10",3.81147889234126,4.80126854660558,0.00122337750091423,0.00133213833698599,0.000932233676346679,0.00137744107879782,0.00112637608155751,0.000672096088822719,0.000577843947217562,0.000777122283454776,0.00138848245295115,0.01
