"","species","lambda.mean","lambda.env","alpha.1","alpha.2","alpha.3","alpha.4","alpha.5","alpha.6","alpha.7","alpha.8","alpha.9","alpha.10"
"1","1",0.0277586728334427,0.778844633152329,0.01,0.000887354238676212,0.00097294559804076,0.00119109669599248,0.001391297956453,0.00118019001161962,0.00122655570852009,0.000866354890460443,0.00139521765701049,0.00103946490657337
"2","2",0.626975941238925,0.639615456046527,0.000977349916108314,0.01,0.0011060523796011,0.0010290826746038,0.000993578636764302,0.00127827552742714,0.000709088602203868,0.000872668925707352,0.00109226788964186,0.00118710387725939
"3","3",0.947650893358514,-0.0331425074001438,0.0011876586837689,0.000964293367245696,0.01,0.000744617369444149,0.000867978270250426,0.00136369675569172,0.000919033516047468,0.00137835601438469,0.000950002781095937,0.00126714807914616
"4","4",1.18505345354788,-0.118768521003097,0.000898363851747332,0.000413599874388834,0.000949259716479328,0.01,0.00088895384005826,0.000958088904973099,0.00104087649142988,0.000815303720964964,0.00120187507680169,0.000920723237980744
"5","5",1.45019462937489,-0.165256639728618,0.00107849359437001,0.00135781556897384,0.000850601494389776,0.000837386389557279,0.01,0.000401613200536052,0.00101363131229539,0.00102718491527395,0.00042225244511274,0.000878489498699688
"6","6",0.926970770582557,-0.247369236152808,0.00124818459830187,0.00131560941833937,0.00112469365266275,0.00113192207334307,0.000938166711217664,0.01,0.000863166994115783,0.00111266401877559,0.000610992230954855,0.00126431783898499
"7","7",1.41783032810781,-0.499961588763078,0.000740864458897802,0.00145118490508736,0.000667700247384309,0.000996885429698659,0.000484338060129988,0.00100543282005406,0.01,0.00135970680792474,0.00108624630315944,0.000767537956800176
"8","8",0.817747609340586,0.114947488388777,0.00144064454049526,0.00172063203353588,0.0010197816826909,0.00144910624916472,0.00142295066562375,0.00112117205597192,0.00115716953707333,0.01,0.000999275578620997,0.000852926304790357
"9","9",0.766395484912209,-0.0578496199980608,0.00117940866544025,0.00098988514841681,0.00130113730706652,0.00102215060718743,0.000982586591076096,0.000999817989995028,0.00110493525592871,0.00159450353048824,0.01,0.0008713481198108
"10","10",1.08581625460647,0.694011648720971,0.000942663172317165,0.00145719523482776,0.000722252236803615,0.000513053158933861,0.00114273736148687,0.00038262730266552,0.00103242558665156,0.00148626035697175,0.001342023262131,0.01
