"","species","lambda.max","z.env","sigma.env","alpha.1","alpha.2","alpha.3","alpha.4","alpha.5","alpha.6","alpha.7","alpha.8","alpha.9","alpha.10"
"1","1",3.05505099426955,0.0584758653343446,11.5584908312844,0.01,0.00130522980794673,0.00111635412229949,0.000955709124874858,0.00127770525438987,0.000786933537154444,0.000395214795849847,0.00162772030235103,0.000804714023695435,0.000915999058398711
"2","2",2.31365090794861,-0.0104454508330542,1.28382188733667,0.00120385841581324,0.01,0.000558464240642409,0.00100522058173997,0.000933578519217756,0.000912605489609148,0.000935789013565463,0.000798311032890944,0.00095909276509138,0.0011632094003836
"3","3",2.16595837380737,0.305831273257076,0.394351178780198,0.00127185381971035,0.000847769214711358,0.01,0.00103495638087693,0.000705297816535716,0.000547160999224686,0.00105288644791535,0.000836142610812551,0.000860310491945968,0.000871802291154776
"4","4",3.77389647904783,0.144450368573899,0.782309994101524,0.000910088516193461,0.00113043508837862,0.00164402156733152,0.01,0.0011480994420104,0.00129773367789166,0.00146051848945148,0.00110340160988211,0.00146872383403531,0.000895885818164791
"5","5",3.96238895040005,-0.681870242888139,2.09565101183,0.00101463180726543,0.000477006415758806,0.00087419268811034,0.00191887336619868,0.01,0.00109771955114406,0.00127979544534973,0.000919420098456675,0.000814275502260897,0.00114982757432885
"6","6",2.21195093449205,0.947408608070939,1.5378832294242,0.0009177531728863,0.000564736677879295,0.00102953296730341,0.000734350720877052,0.000520373685130194,0.01,0.000396653579854455,0.000742088788502366,0.000676918386778457,0.000932154649792919
"7","7",2.35417129751295,0.604467513813104,2.35751841120555,0.000868547360913735,0.000746872360976247,0.000814900806261815,0.000877974239304329,0.000797638325871734,0.000373158929362578,0.01,0.00113700382345662,0.000432943475875131,0.000819319384401435
"8","8",4.68190910574049,1.01085219259642,0.00780385606667624,0.000990782898883784,0.000522226539377508,0.00108451575167074,0.00162451576536839,0.0012128529571856,0.000997760781573711,0.000656452620689749,0.01,0.000219339714837989,0.000901882982858537
"9","9",3.32492056302726,0.146032371044589,1.72216549830189,0.00102017265399654,0.00072987314847854,0.00105869027022897,0.000950928630545947,0.000907706699107583,0.000883763320519731,0.000916523299612895,0.000379032308419787,0.01,0.000838106469462735
"10","10",2.72781880572438,1.70568025731071,0.981643113307655,0.00125508914672435,0.00122397993225187,0.000926360090056414,0.00179006224656666,0.00145307894445554,0.00105349146490792,0.000664290879496381,0.000940012514317057,0.000648111528743076,0.01
