"","species","lambda.max","z.env","sigma.env","alpha.1","alpha.2","alpha.3","alpha.4","alpha.5","alpha.6","alpha.7","alpha.8","alpha.9","alpha.10"
"1","1",2.2316229538992,-1.06331871576209,0.251349486410618,0.01,6.61776812115502e-05,5.18207374388106e-05,8.23038605037309e-05,8.25944453127579e-05,2.32773842948848e-05,4.10821742242556e-05,2.99638852619377e-05,5.04121836281791e-05,8.49792990261077e-05
"2","2",2.39361984003335,0.284530671924656,1.91978852069917,0.0011758797396519,0.01,0.00123093758879414,0.000598125122438788,0.00135873078524248,0.000684690784493173,0.00105544641372519,0.000468430998763395,0.000568663223375758,0.00163597619107227
"3","3",2.65018692146987,-0.384149370725701,2.00812516353073,0.000448088397256696,0.00104404290580991,0.01,0.00131608591762878,0.00120829591620213,0.0015410231003427,0.00114196691397044,0.00095559058630691,0.000986771197749916,0.000621285046074351
"4","4",2.0075488705188,-2.07184876816342,4.54777758170791,0.00241262847945498,0.00185842161334296,0.00216003976641692,0.01,0.0016872644194226,0.00189375886418867,0.00241683055716959,0.000352666453190273,0.000974415299153351,0.00183223100028409
"5","5",3.41236464027315,-1.14774738731299,1.80884663007202,0.000258357899490138,0.000466158935898109,0.00135123896237606,0.000928673424228873,0.01,0.00101322092323189,0.00132626580482026,0.000609879413618133,0.00109906051307617,0.00112444894699199
"6","6",3.28994455188513,0.449433633163176,3.42695869861131,0.00110050687955991,0.000787656706409822,0.00095279391587994,0.000871690201622894,0.000782015790952096,0.01,0.00102925339206976,0.00105704330633418,0.000763860885190994,0.0010262093377834
"7","7",2.74892810359597,1.28823844198615,1.74144181600752,0.00431480070806012,0.00326698928207334,0.00270483252769429,0.00474653269813072,0.00233602861367517,0.00440029346590403,0.01,0.00305003126887693,0.00362990040765163,0.00257995318744237
"8","8",2.48976246174425,1.51648899561881,5.83212345804939,0.00106308082510803,0.000412437371419354,0.000933351511440698,0.00116498968060817,0.000864196244256495,0.00101544497888384,0.00133481365308251,0.01,0.000838742804257339,0.00128112526869299
"9","9",2.13606531918049,1.25097627502619,3.23968854801662,0.000794288064795134,0.00072886090189445,0.000713149465370418,0.00106637197402486,0.00120127811929066,0.00079363700641816,0.00148984417510457,0.00120167037533431,0.01,0.000842922258591257
"10","10",1.93180497176945,1.58521225488265,2.37140814951601,0.000562399763310239,0.0010750329215305,0.00107582943435492,0.00109915849843768,0.000939978593553581,0.00107053042079882,0.00126970298528312,0.0010622365445645,0.00107413523062028,0.01
