"","species","run","run.env","time","pop"
"1","1",1,-2.03082073162229,0,128
"2","2",1,-2.03082073162229,0,114
"3","3",1,-2.03082073162229,0,0
"4","4",1,-2.03082073162229,0,86
"5","5",1,-2.03082073162229,0,115
"6","6",1,-2.03082073162229,0,123
"7","7",1,-2.03082073162229,0,103
"8","8",1,-2.03082073162229,0,26
"9","9",1,-2.03082073162229,0,150
"10","10",1,-2.03082073162229,0,112
"11","1",1,-2.03082073162229,1,63.5708499412522
"12","2",1,-2.03082073162229,1,122.4285082407
"13","3",1,-2.03082073162229,1,0
"14","4",1,-2.03082073162229,1,110.059631660263
"15","5",1,-2.03082073162229,1,78.5092326930554
"16","6",1,-2.03082073162229,1,145.633749341965
"17","7",1,-2.03082073162229,1,70.8349076430119
"18","8",1,-2.03082073162229,1,28.6425487295731
"19","9",1,-2.03082073162229,1,78.7002297915294
"20","10",1,-2.03082073162229,1,76.9253436179432
"21","1",2,-0.0171825898377254,0,10
"22","2",2,-0.0171825898377254,0,55
"23","3",2,-0.0171825898377254,0,151
"24","4",2,-0.0171825898377254,0,109
"25","5",2,-0.0171825898377254,0,156
"26","6",2,-0.0171825898377254,0,87
"27","7",2,-0.0171825898377254,0,229
"28","8",2,-0.0171825898377254,0,129
"29","9",2,-0.0171825898377254,0,0
"30","10",2,-0.0171825898377254,0,239
"31","1",2,-0.0171825898377254,1,4.74073584432872
"32","2",2,-0.0171825898377254,1,52.1261912392528
"33","3",2,-0.0171825898377254,1,65.6766719733547
"34","4",2,-0.0171825898377254,1,103.314168962569
"35","5",2,-0.0171825898377254,1,80.6890933732697
"36","6",2,-0.0171825898377254,1,79.1311051310003
"37","7",2,-0.0171825898377254,1,108.475080339466
"38","8",2,-0.0171825898377254,1,91.3735229770167
"39","9",2,-0.0171825898377254,1,0
"40","10",2,-0.0171825898377254,1,118.320773857401
"41","1",3,-0.442691451999326,0,127
"42","2",3,-0.442691451999326,0,216
"43","3",3,-0.442691451999326,0,0
"44","4",3,-0.442691451999326,0,143
"45","5",3,-0.442691451999326,0,21
"46","6",3,-0.442691451999326,0,81
"47","7",3,-0.442691451999326,0,82
"48","8",3,-0.442691451999326,0,195
"49","9",3,-0.442691451999326,0,119
"50","10",3,-0.442691451999326,0,71
"51","1",3,-0.442691451999326,1,68.0945946165275
"52","2",3,-0.442691451999326,1,208.963842670294
"53","3",3,-0.442691451999326,1,0
"54","4",3,-0.442691451999326,1,174.943757958418
"55","5",3,-0.442691451999326,1,19.2080423447312
"56","6",3,-0.442691451999326,1,112.505060238084
"57","7",3,-0.442691451999326,1,59.6350703450246
"58","8",3,-0.442691451999326,1,153.839553007619
"59","9",3,-0.442691451999326,1,72.5365298158457
"60","10",3,-0.442691451999326,1,54.8586468798999
"61","1",4,-0.18438758167206,0,0
"62","2",4,-0.18438758167206,0,22
"63","3",4,-0.18438758167206,0,3
"64","4",4,-0.18438758167206,0,22
"65","5",4,-0.18438758167206,0,127
"66","6",4,-0.18438758167206,0,286
"67","7",4,-0.18438758167206,0,186
"68","8",4,-0.18438758167206,0,0
"69","9",4,-0.18438758167206,0,0
"70","10",4,-0.18438758167206,0,26
"71","1",4,-0.18438758167206,1,0
"72","2",4,-0.18438758167206,1,29.2488282100746
"73","3",4,-0.18438758167206,1,3.18038546231636
"74","4",4,-0.18438758167206,1,40.9561155744963
"75","5",4,-0.18438758167206,1,89.9254160549816
"76","6",4,-0.18438758167206,1,288.545943745638
"77","7",4,-0.18438758167206,1,117.911171630316
"78","8",4,-0.18438758167206,1,0
"79","9",4,-0.18438758167206,1,0
"80","10",4,-0.18438758167206,1,22.1627421056544
"81","1",5,-0.0528201359834716,0,183
"82","2",5,-0.0528201359834716,0,0
"83","3",5,-0.0528201359834716,0,154
"84","4",5,-0.0528201359834716,0,8
"85","5",5,-0.0528201359834716,0,69
"86","6",5,-0.0528201359834716,0,256
"87","7",5,-0.0528201359834716,0,106
"88","8",5,-0.0528201359834716,0,232
"89","9",5,-0.0528201359834716,0,158
"90","10",5,-0.0528201359834716,0,54
"91","1",5,-0.0528201359834716,1,82.8240298966113
"92","2",5,-0.0528201359834716,1,0
"93","3",5,-0.0528201359834716,1,83.1917649712859
