"","species","run","run.env","time","pop"
"1","1",1,-0.501339121560482,0,77
"2","2",1,-0.501339121560482,0,24
"3","3",1,-0.501339121560482,0,0
"4","4",1,-0.501339121560482,0,0
"5","5",1,-0.501339121560482,0,323
"6","6",1,-0.501339121560482,0,157
"7","7",1,-0.501339121560482,0,185
"8","8",1,-0.501339121560482,0,29
"9","9",1,-0.501339121560482,0,237
"10","10",1,-0.501339121560482,0,0
"11","1",1,-0.501339121560482,1,65.6351003594491
"12","2",1,-0.501339121560482,1,35.7036340845117
"13","3",1,-0.501339121560482,1,0
"14","4",1,-0.501339121560482,1,0
"15","5",1,-0.501339121560482,1,177.189314696528
"16","6",1,-0.501339121560482,1,220.358567957974
"17","7",1,-0.501339121560482,1,125.834541672156
"18","8",1,-0.501339121560482,1,28.6777238242249
"19","9",1,-0.501339121560482,1,106.111669842705
"20","10",1,-0.501339121560482,1,0
"21","1",2,-2.11679450368174,0,191
"22","2",2,-2.11679450368174,0,182
"23","3",2,-2.11679450368174,0,113
"24","4",2,-2.11679450368174,0,129
"25","5",2,-2.11679450368174,0,257
"26","6",2,-2.11679450368174,0,232
"27","7",2,-2.11679450368174,0,114
"28","8",2,-2.11679450368174,0,0
"29","9",2,-2.11679450368174,0,199
"30","10",2,-2.11679450368174,0,244
"31","1",2,-2.11679450368174,1,99.3964126155145
"32","2",2,-2.11679450368174,1,138.356454049816
"33","3",2,-2.11679450368174,1,91.8996516520152
"34","4",2,-2.11679450368174,1,48.848406488288
"35","5",2,-2.11679450368174,1,142.254303740649
"36","6",2,-2.11679450368174,1,243.516776803717
"37","7",2,-2.11679450368174,1,81.6673998219175
"38","8",2,-2.11679450368174,1,0
"39","9",2,-2.11679450368174,1,88.9189212797596
"40","10",2,-2.11679450368174,1,59.9748356953379
"41","1",3,-0.631223521614416,0,177
"42","2",3,-0.631223521614416,0,0
"43","3",3,-0.631223521614416,0,181
"44","4",3,-0.631223521614416,0,0
"45","5",3,-0.631223521614416,0,147
"46","6",3,-0.631223521614416,0,195
"47","7",3,-0.631223521614416,0,0
"48","8",3,-0.631223521614416,0,65
"49","9",3,-0.631223521614416,0,0
"50","10",3,-0.631223521614416,0,100
"51","1",3,-0.631223521614416,1,113.637737773067
"52","2",3,-0.631223521614416,1,0
"53","3",3,-0.631223521614416,1,154.534229595657
"54","4",3,-0.631223521614416,1,0
"55","5",3,-0.631223521614416,1,128.59628422
"56","6",3,-0.631223521614416,1,256.158720730415
"57","7",3,-0.631223521614416,1,0
"58","8",3,-0.631223521614416,1,66.1593426848415
"59","9",3,-0.631223521614416,1,0
"60","10",3,-0.631223521614416,1,43.9931658653889
"61","1",4,-0.961100800926414,0,151
"62","2",4,-0.961100800926414,0,108
"63","3",4,-0.961100800926414,0,160
"64","4",4,-0.961100800926414,0,205
"65","5",4,-0.961100800926414,0,0
"66","6",4,-0.961100800926414,0,218
"67","7",4,-0.961100800926414,0,74
"68","8",4,-0.961100800926414,0,324
"69","9",4,-0.961100800926414,0,15
"70","10",4,-0.961100800926414,0,153
"71","1",4,-0.961100800926414,1,77.7262291919029
"72","2",4,-0.961100800926414,1,82.2520730693595
"73","3",4,-0.961100800926414,1,121.02705802936
"74","4",4,-0.961100800926414,1,60.8616531917711
"75","5",4,-0.961100800926414,1,0
"76","6",4,-0.961100800926414,1,211.641938991992
"77","7",4,-0.961100800926414,1,47.6382231756988
"78","8",4,-0.961100800926414,1,152.166230722873
"79","9",4,-0.961100800926414,1,9.87102137856831
"80","10",4,-0.961100800926414,1,46.7769281143282
"81","1",5,1.89395756069785,0,0
"82","2",5,1.89395756069785,0,36
"83","3",5,1.89395756069785,0,50
"84","4",5,1.89395756069785,0,0
"85","5",5,1.89395756069785,0,187
"86","6",5,1.89395756069785,0,31
"87","7",5,1.89395756069785,0,256
"88","8",5,1.89395756069785,0,86
"89","9",5,1.89395756069785,0,139
"90","10",5,1.89395756069785,0,91
"91","1",5,1.89395756069785,1,0
"92","2",5,1.89395756069785,1,51.5094984198885
"93","3",5,1.89395756069785,1,63.4769601833329
"94","4",5,1.89395756069785,1,0
"95","5",5,1.89395756069785,1,135.318933873871
"96","6",5,1.89395756069785,1,64.3312090010666
"97","7",5,1.89395756069785,1,148.881770502162
"98","8",5,1.89395756069785,1,79.1247582681444
"99","9",5,1.89395756069785,1,80.4988083325812
"100","10",5,1.89395756069785,1,38.3336506554874
"101","1",6,0.619379081137239,0,0
"102","2",6,0.619379081137239,0,123
"103","3",6,0.619379081137239,0,25
"104","4",6,0.619379081137239,0,0
"105","5",6,0.619379081137239,0,65
"106","6",6,0.619379081137239,0,185
"107","7",6,0.619379081137239,0,47
"108","8",6,0.619379081137239,0,0
"109","9",6,0.619379081137239,0,47
"110","10",6,0.619379081137239,0,152
"111","1",6,0.619379081137239,1,0
"112","2",6,0.619379081137239,1,142.078222930698
"113","3",6,0.619379081137239,1,39.6660128784692
"114","4",6,0.619379081137239,1,0
"115","5",6,0.619379081137239,1,78.5186443796449
"116","6",6,0.619379081137239,1,269.650615646458
"117","7",6,0.619379081137239,1,58.3944895513477
"118","8",6,0.619379081137239,1,0
"119","9",6,0.619379081137239,1,46.1781635294877
"120","10",6,0.619379081137239,1,61.1890049121415
"121","1",7,-2.65560681562867,0,0
"122","2",7,-2.65560681562867,0,183
"123","3",7,-2.65560681562867,0,0
"124","4",7,-2.65560681562867,0,125
"125","5",7,-2.65560681562867,0,266
"126","6",7,-2.65560681562867,0,109
"127","7",7,-2.65560681562867,0,94
"128","8",7,-2.65560681562867,0,0
"129","9",7,-2.65560681562867,0,102
"130","10",7,-2.65560681562867,0,74
"131","1",7,-2.65560681562867,1,0
"132","2",7,-2.65560681562867,1,166.486053086244
"133","3",7,-2.65560681562867,1,0
"134","4",7,-2.65560681562867,1,58.7057344099003
"135","5",7,-2.65560681562867,1,166.583645109128
"136","6",7,-2.65560681562867,1,180.860699182278
"137","7",7,-2.65560681562867,1,88.1891720332019
"138","8",7,-2.65560681562867,1,0
"139","9",7,-2.65560681562867,1,67.9963275536693
"140","10",7,-2.65560681562867,1,33.5117844956202
"141","1",8,0.768704747007279,0,81
"142","2",8,0.768704747007279,0,50
"143","3",8,0.768704747007279,0,14
"144","4",8,0.768704747007279,0,0
"145","5",8,0.768704747007279,0,29
"146","6",8,0.768704747007279,0,0
"147","7",8,0.768704747007279,0,57
"148","8",8,0.768704747007279,0,0
"149","9",8,0.768704747007279,0,0
"150","10",8,0.768704747007279,0,0
"151","1",8,0.768704747007279,1,92.0257621622857
"152","2",8,0.768704747007279,1,92.901387690433
"153","3",8,0.768704747007279,1,31.2078929015242
"154","4",8,0.768704747007279,1,0
"155","5",8,0.768704747007279,1,54.3322549157223
"156","6",8,0.768704747007279,1,0
"157","7",8,0.768704747007279,1,85.517209804046
"158","8",8,0.768704747007279,1,0
"159","9",8,0.768704747007279,1,0
"160","10",8,0.768704747007279,1,0
"161","1",9,1.14628398018958,0,11
"162","2",9,1.14628398018958,0,0
"163","3",9,1.14628398018958,0,145
"164","4",9,1.14628398018958,0,0
"165","5",9,1.14628398018958,0,159
"166","6",9,1.14628398018958,0,0
"167","7",9,1.14628398018958,0,149
"168","8",9,1.14628398018958,0,99
"169","9",9,1.14628398018958,0,0
"170","10",9,1.14628398018958,0,137
"171","1",9,1.14628398018958,1,12.9959139548843
"172","2",9,1.14628398018958,1,0
"173","3",9,1.14628398018958,1,143.410795021567
"174","4",9,1.14628398018958,1,0
"175","5",9,1.14628398018958,1,132.109827420546
"176","6",9,1.14628398018958,1,0
"177","7",9,1.14628398018958,1,115.198927880073
"178","8",9,1.14628398018958,1,97.2757685952865
"179","9",9,1.14628398018958,1,0
"180","10",9,1.14628398018958,1,54.5650505494915
"181","1",10,-0.395969745776501,0,126
"182","2",10,-0.395969745776501,0,0
"183","3",10,-0.395969745776501,0,0
"184","4",10,-0.395969745776501,0,0
"185","5",10,-0.395969745776501,0,0
"186","6",10,-0.395969745776501,0,123
"187","7",10,-0.395969745776501,0,178
"188","8",10,-0.395969745776501,0,126
"189","9",10,-0.395969745776501,0,187
"190","10",10,-0.395969745776501,0,282
"191","1",10,-0.395969745776501,1,85.8532874915791
"192","2",10,-0.395969745776501,1,0
"193","3",10,-0.395969745776501,1,0
"194","4",10,-0.395969745776501,1,0
"195","5",10,-0.395969745776501,1,0
"196","6",10,-0.395969745776501,1,178.703429572484
"197","7",10,-0.395969745776501,1,115.629008030197
"198","8",10,-0.395969745776501,1,98.9812771145798
"199","9",10,-0.395969745776501,1,95.9013113748831
"200","10",10,-0.395969745776501,1,71.4722714233668
"201","1",11,-0.511658924643866,0,43
"202","2",11,-0.511658924643866,0,82
"203","3",11,-0.511658924643866,0,27
"204","4",11,-0.511658924643866,0,219
"205","5",11,-0.511658924643866,0,65
"206","6",11,-0.511658924643866,0,74
"207","7",11,-0.511658924643866,0,140
"208","8",11,-0.511658924643866,0,162
"209","9",11,-0.511658924643866,0,184
"210","10",11,-0.511658924643866,0,0
"211","1",11,-0.511658924643866,1,35.2996837494189
"212","2",11,-0.511658924643866,1,87.8245144254639
"213","3",11,-0.511658924643866,1,34.8238645152496
"214","4",11,-0.511658924643866,1,74.0062363507932
"215","5",11,-0.511658924643866,1,63.0147800337159
"216","6",11,-0.511658924643866,1,121.941623195676
"217","7",11,-0.511658924643866,1,97.4074227171721
"218","8",11,-0.511658924643866,1,113.720561556417
"219","9",11,-0.511658924643866,1,91.2078344955119
"220","10",11,-0.511658924643866,1,0
"221","1",12,-1.20956090454224,0,111
"222","2",12,-1.20956090454224,0,245
"223","3",12,-1.20956090454224,0,87
"224","4",12,-1.20956090454224,0,92
"225","5",12,-1.20956090454224,0,280
