"","species","run","run.env","time","pop"
"1","1",1,-1.6208567815941,0,27
"2","2",1,-1.6208567815941,0,113
"3","3",1,-1.6208567815941,0,86
"4","4",1,-1.6208567815941,0,83
"5","5",1,-1.6208567815941,0,43
"6","6",1,-1.6208567815941,0,80
"7","7",1,-1.6208567815941,0,152
"8","8",1,-1.6208567815941,0,0
"9","9",1,-1.6208567815941,0,50
"10","10",1,-1.6208567815941,0,92
"11","1",1,-1.6208567815941,1,32.1528027567636
"12","2",1,-1.6208567815941,1,149.430471740734
"13","3",1,-1.6208567815941,1,55.9473642682474
"14","4",1,-1.6208567815941,1,98.121977858924
"15","5",1,-1.6208567815941,1,42.0791493036557
"16","6",1,-1.6208567815941,1,108.923359518657
"17","7",1,-1.6208567815941,1,93.713664109476
"18","8",1,-1.6208567815941,1,0
"19","9",1,-1.6208567815941,1,83.8562703492086
"20","10",1,-1.6208567815941,1,49.2477113925325
"21","1",2,0.183579859768976,0,120
"22","2",2,0.183579859768976,0,160
"23","3",2,0.183579859768976,0,186
"24","4",2,0.183579859768976,0,32
"25","5",2,0.183579859768976,0,36
"26","6",2,0.183579859768976,0,227
"27","7",2,0.183579859768976,0,287
"28","8",2,0.183579859768976,0,0
"29","9",2,0.183579859768976,0,127
"30","10",2,0.183579859768976,0,36
"31","1",2,0.183579859768976,1,105.664120035933
"32","2",2,0.183579859768976,1,180.508642257622
"33","3",2,0.183579859768976,1,90.6943143856719
"34","4",2,0.183579859768976,1,38.5686697329815
"35","5",2,0.183579859768976,1,32.3561806903237
"36","6",2,0.183579859768976,1,204.844358627632
"37","7",2,0.183579859768976,1,148.305445625018
"38","8",2,0.183579859768976,1,0
"39","9",2,0.183579859768976,1,154.78230103087
"40","10",2,0.183579859768976,1,26.1453922529194
"41","1",3,-0.917575543052773,0,59
"42","2",3,-0.917575543052773,0,21
"43","3",3,-0.917575543052773,0,100
"44","4",3,-0.917575543052773,0,143
"45","5",3,-0.917575543052773,0,170
"46","6",3,-0.917575543052773,0,0
"47","7",3,-0.917575543052773,0,131
"48","8",3,-0.917575543052773,0,25
"49","9",3,-0.917575543052773,0,0
"50","10",3,-0.917575543052773,0,0
"51","1",3,-0.917575543052773,1,46.7243276446105
"52","2",3,-0.917575543052773,1,35.1082073235943
"53","3",3,-0.917575543052773,1,49.0358049961322
"54","4",3,-0.917575543052773,1,141.654653229283
"55","5",3,-0.917575543052773,1,100.771578865098
"56","6",3,-0.917575543052773,1,0
"57","7",3,-0.917575543052773,1,79.696937800781
"58","8",3,-0.917575543052773,1,28.7102080419241
"59","9",3,-0.917575543052773,1,0
"60","10",3,-0.917575543052773,1,0
"61","1",4,-2.88328169910083,0,0
"62","2",4,-2.88328169910083,0,133
"63","3",4,-2.88328169910083,0,0
"64","4",4,-2.88328169910083,0,0
"65","5",4,-2.88328169910083,0,66
"66","6",4,-2.88328169910083,0,202
"67","7",4,-2.88328169910083,0,118
"68","8",4,-2.88328169910083,0,140
"69","9",4,-2.88328169910083,0,0
"70","10",4,-2.88328169910083,0,81
"71","1",4,-2.88328169910083,1,0
"72","2",4,-2.88328169910083,1,182.108586944722
"73","3",4,-2.88328169910083,1,0
"74","4",4,-2.88328169910083,1,0
"75","5",4,-2.88328169910083,1,57.9823067645586
"76","6",4,-2.88328169910083,1,202.037539210275
"77","7",4,-2.88328169910083,1,88.9030281807961
"78","8",4,-2.88328169910083,1,114.125875161954
"79","9",4,-2.88328169910083,1,0
"80","10",4,-2.88328169910083,1,47.6720601991083
"81","1",5,1.20959390694523,0,72
"82","2",5,1.20959390694523,0,54
"83","3",5,1.20959390694523,0,180
"84","4",5,1.20959390694523,0,12
"85","5",5,1.20959390694523,0,78
"86","6",5,1.20959390694523,0,63
"87","7",5,1.20959390694523,0,149
"88","8",5,1.20959390694523,0,0
"89","9",5,1.20959390694523,0,38
"90","10",5,1.20959390694523,0,0
"91","1",5,1.20959390694523,1,77.51744882304
"92","2",5,1.20959390694523,1,104.051959227875
"93","3",5,1.20959390694523,1,109.492963630402
"94","4",5,1.20959390694523,1,18.010034457673
"95","5",5,1.20959390694523,1,70.5157087695326
"96","6",5,1.20959390694523,1,106.307158081122
"97","7",5,1.20959390694523,1,114.980085643861
"98","8",5,1.20959390694523,1,0
"99","9",5,1.20959390694523,1,73.3764688928342
"100","10",5,1.20959390694523,1,0
"101","1",6,-0.265691448989642,0,174
"102","2",6,-0.265691448989642,0,0
"103","3",6,-0.265691448989642,0,186
"104","4",6,-0.265691448989642,0,128
"105","5",6,-0.265691448989642,0,0
"106","6",6,-0.265691448989642,0,0
"107","7",6,-0.265691448989642,0,245
"108","8",6,-0.265691448989642,0,225
"109","9",6,-0.265691448989642,0,118
"110","10",6,-0.265691448989642,0,5
"111","1",6,-0.265691448989642,1,110.976303405619
"112","2",6,-0.265691448989642,1,0
"113","3",6,-0.265691448989642,1,73.0863867899331
"114","4",6,-0.265691448989642,1,102.196615444099
"115","5",6,-0.265691448989642,1,0
"116","6",6,-0.265691448989642,1,0
"117","7",6,-0.265691448989642,1,113.462539003021
"118","8",6,-0.265691448989642,1,124.350374722551
"119","9",6,-0.265691448989642,1,133.947739855565
"120","10",6,-0.265691448989642,1,1.95464213900729
"121","1",7,0.697940865187828,0,50
"122","2",7,0.697940865187828,0,216
"123","3",7,0.697940865187828,0,33
"124","4",7,0.697940865187828,0,66
"125","5",7,0.697940865187828,0,0
"126","6",7,0.697940865187828,0,0
"127","7",7,0.697940865187828,0,52
"128","8",7,0.697940865187828,0,0
"129","9",7,0.697940865187828,0,5
"130","10",7,0.697940865187828,0,46
"131","1",7,0.697940865187828,1,66.6934098486125
"132","2",7,0.697940865187828,1,235.008545745742
"133","3",7,0.697940865187828,1,28.1192073230274
"134","4",7,0.697940865187828,1,101.673990496374
"135","5",7,0.697940865187828,1,0
"136","6",7,0.697940865187828,1,0
"137","7",7,0.697940865187828,1,51.6642876931628
"138","8",7,0.697940865187828,1,0
"139","9",7,0.697940865187828,1,10.884029078017
"140","10",7,0.697940865187828,1,33.1453543801874
"141","1",8,-0.669501113434685,0,0
"142","2",8,-0.669501113434685,0,143
"143","3",8,-0.669501113434685,0,13
"144","4",8,-0.669501113434685,0,183
"145","5",8,-0.669501113434685,0,126
"146","6",8,-0.669501113434685,0,211
"147","7",8,-0.669501113434685,0,221
"148","8",8,-0.669501113434685,0,271
"149","9",8,-0.669501113434685,0,0
"150","10",8,-0.669501113434685,0,0
"151","1",8,-0.669501113434685,1,0
"152","2",8,-0.669501113434685,1,127.334664649855
"153","3",8,-0.669501113434685,1,6.14468565382901
"154","4",8,-0.669501113434685,1,127.704725424585
"155","5",8,-0.669501113434685,1,74.517522243061
"156","6",8,-0.669501113434685,1,146.255523326029
"157","7",8,-0.669501113434685,1,105.962307098227
"158","8",8,-0.669501113434685,1,128.8499163346
"159","9",8,-0.669501113434685,1,0
"160","10",8,-0.669501113434685,1,0
"161","1",9,-1.14808055698232,0,208
"162","2",9,-1.14808055698232,0,0
"163","3",9,-1.14808055698232,0,139
"164","4",9,-1.14808055698232,0,293
"165","5",9,-1.14808055698232,0,71
"166","6",9,-1.14808055698232,0,0
"167","7",9,-1.14808055698232,0,113
"168","8",9,-1.14808055698232,0,57
"169","9",9,-1.14808055698232,0,73
"170","10",9,-1.14808055698232,0,193
"171","1",9,-1.14808055698232,1,109.953586691402
"172","2",9,-1.14808055698232,1,0
"173","3",9,-1.14808055698232,1,54.2817646427647
"174","4",9,-1.14808055698232,1,164.296268074179
"175","5",9,-1.14808055698232,1,36.7433040791946
"176","6",9,-1.14808055698232,1,0
"177","7",9,-1.14808055698232,1,50.7395535077055
"178","8",9,-1.14808055698232,1,38.7900393226798
"179","9",9,-1.14808055698232,1,78.9653659612827
