"","species","run","run.env","time","pop"
"1","1",1,-0.20997605328147,0,222
"2","2",1,-0.20997605328147,0,7
"3","3",1,-0.20997605328147,0,104
"4","4",1,-0.20997605328147,0,0
"5","5",1,-0.20997605328147,0,70
"6","6",1,-0.20997605328147,0,154
"7","7",1,-0.20997605328147,0,71
"8","8",1,-0.20997605328147,0,78
"9","9",1,-0.20997605328147,0,50
"10","10",1,-0.20997605328147,0,0
"11","1",1,-0.20997605328147,1,78.5970843059645
"12","2",1,-0.20997605328147,1,5.78421150595513
"13","3",1,-0.20997605328147,1,138.21345425743
"14","4",1,-0.20997605328147,1,0
"15","5",1,-0.20997605328147,1,48.8168564831124
"16","6",1,-0.20997605328147,1,135.630341386196
"17","7",1,-0.20997605328147,1,78.7600520052843
"18","8",1,-0.20997605328147,1,81.5977889623924
"19","9",1,-0.20997605328147,1,62.6288021891116
"20","10",1,-0.20997605328147,1,0
"21","1",2,0.627038346990433,0,0
"22","2",2,0.627038346990433,0,0
"23","3",2,0.627038346990433,0,92
"24","4",2,0.627038346990433,0,0
"25","5",2,0.627038346990433,0,68
"26","6",2,0.627038346990433,0,149
"27","7",2,0.627038346990433,0,9
"28","8",2,0.627038346990433,0,84
"29","9",2,0.627038346990433,0,77
"30","10",2,0.627038346990433,0,165
"31","1",2,0.627038346990433,1,0
"32","2",2,0.627038346990433,1,0
"33","3",2,0.627038346990433,1,149.783905774751
"34","4",2,0.627038346990433,1,0
"35","5",2,0.627038346990433,1,38.9447975953931
"36","6",2,0.627038346990433,1,93.8434104670679
"37","7",2,0.627038346990433,1,12.5314831762772
"38","8",2,0.627038346990433,1,188.506759097092
"39","9",2,0.627038346990433,1,61.3059634974572
"40","10",2,0.627038346990433,1,241.12046847647
"41","1",3,0.484590097221605,0,65
"42","2",3,0.484590097221605,0,0
"43","3",3,0.484590097221605,0,0
"44","4",3,0.484590097221605,0,97
"45","5",3,0.484590097221605,0,120
"46","6",3,0.484590097221605,0,7
"47","7",3,0.484590097221605,0,0
"48","8",3,0.484590097221605,0,73
"49","9",3,0.484590097221605,0,154
"50","10",3,0.484590097221605,0,212
"51","1",3,0.484590097221605,1,15.4041921427448
"52","2",3,0.484590097221605,1,0
"53","3",3,0.484590097221605,1,0
"54","4",3,0.484590097221605,1,82.3493108674813
