"","species","run","run.env","time","pop"
"1","1",1,-1.7631960515048,0,144
"2","2",1,-1.7631960515048,0,0
"3","3",1,-1.7631960515048,0,110
"4","4",1,-1.7631960515048,0,178
"5","5",1,-1.7631960515048,0,141
"6","6",1,-1.7631960515048,0,0
"7","7",1,-1.7631960515048,0,194
"8","8",1,-1.7631960515048,0,89
"9","9",1,-1.7631960515048,0,0
"10","10",1,-1.7631960515048,0,166
"11","1",1,-1.7631960515048,1,16.0435769298109
"12","2",1,-1.7631960515048,1,0
"13","3",1,-1.7631960515048,1,20.0061335548482
"14","4",1,-1.7631960515048,1,475.255858201454
"15","5",1,-1.7631960515048,1,17.5532202081557
"16","6",1,-1.7631960515048,1,0
"17","7",1,-1.7631960515048,1,421.303637862513
"18","8",1,-1.7631960515048,1,36.1710480509539
"19","9",1,-1.7631960515048,1,0
"20","10",1,-1.7631960515048,1,-202.767503935731
"21","1",2,-1.6487943702331,0,145
"22","2",2,-1.6487943702331,0,0
"23","3",2,-1.6487943702331,0,132
"24","4",2,-1.6487943702331,0,322
"25","5",2,-1.6487943702331,0,7
"26","6",2,-1.6487943702331,0,78
"27","7",2,-1.6487943702331,0,157
"28","8",2,-1.6487943702331,0,1
"29","9",2,-1.6487943702331,0,0
"30","10",2,-1.6487943702331,0,168
"31","1",2,-1.6487943702331,1,15.4333885907985
"32","2",2,-1.6487943702331,1,0
"33","3",2,-1.6487943702331,1,19.7170239491633
"34","4",2,-1.6487943702331,1,581.760396025099
"35","5",2,-1.6487943702331,1,1.68820253233602
"36","6",2,-1.6487943702331,1,47.9963381791411
"37","7",2,-1.6487943702331,1,380.424334363157
"38","8",2,-1.6487943702331,1,0.933023947238339
"39","9",2,-1.6487943702331,1,0
"40","10",2,-1.6487943702331,1,-192.134628209164
"41","1",3,1.8082883823135,0,36
"42","2",3,1.8082883823135,0,167
"43","3",3,1.8082883823135,0,165
"44","4",3,1.8082883823135,0,0
"45","5",3,1.8082883823135,0,143
"46","6",3,1.8082883823135,0,0
"47","7",3,1.8082883823135,0,271
"48","8",3,1.8082883823135,0,158
"49","9",3,1.8082883823135,0,110
"50","10",3,1.8082883823135,0,152
"51","1",3,1.8082883823135,1,131.298754598329
"52","2",3,1.8082883823135,1,262.391988498952
"53","3",3,1.8082883823135,1,142.418800714149
"54","4",3,1.8082883823135,1,0
"55","5",3,1.8082883823135,1,240.379470650269
"56","6",3,1.8082883823135,1,0
"57","7",3,1.8082883823135,1,-78.4071961473627
"58","8",3,1.8082883823135,1,384.937741481722
"59","9",3,1.8082883823135,1,1.18145129439684
"60","10",3,1.8082883823135,1,537.310931585283
"61","1",4,1.98219720201459,0,139
"62","2",4,1.98219720201459,0,171
"63","3",4,1.98219720201459,0,6
"64","4",4,1.98219720201459,0,50
"65","5",4,1.98219720201459,0,0
"66","6",4,1.98219720201459,0,114
"67","7",4,1.98219720201459,0,0
"68","8",4,1.98219720201459,0,76
"69","9",4,1.98219720201459,0,192
"70","10",4,1.98219720201459,0,254
"71","1",4,1.98219720201459,1,399.957230566492
"72","2",4,1.98219720201459,1,248.822013124899
"73","3",4,1.98219720201459,1,9.34975571002655
"74","4",4,1.98219720201459,1,-4.51208199632535
"75","5",4,1.98219720201459,1,0
"76","6",4,1.98219720201459,1,27.2093386780986
"77","7",4,1.98219720201459,1,0
"78","8",4,1.98219720201459,1,253.514060442068
"79","9",4,1.98219720201459,1,0.635820796164847
"80","10",4,1.98219720201459,1,785.553199559834
"81","1",5,1.13979813040957,0,143
"82","2",5,1.13979813040957,0,28
"83","3",5,1.13979813040957,0,21
"84","4",5,1.13979813040957,0,0
"85","5",5,1.13979813040957,0,0
"86","6",5,1.13979813040957,0,0
"87","7",5,1.13979813040957,0,118
"88","8",5,1.13979813040957,0,31
"89","9",5,1.13979813040957,0,62
"90","10",5,1.13979813040957,0,0
"91","1",5,1.13979813040957,1,396.635328621346
"92","2",5,1.13979813040957,1,84.7884971352337
"93","3",5,1.13979813040957,1,35.4490937948466
"94","4",5,1.13979813040957,1,0
"95","5",5,1.13979813040957,1,0
"96","6",5,1.13979813040957,1,0
"97","7",5,1.13979813040957,1,12.3335711230447
"98","8",5,1.13979813040957,1,130.30826336951
"99","9",5,1.13979813040957,1,5.78068232638532
"100","10",5,1.13979813040957,1,0
"101","1",6,-2.38775300859997,0,242
"102","2",6,-2.38775300859997,0,0
"103","3",6,-2.38775300859997,0,0
"104","4",6,-2.38775300859997,0,21
"105","5",6,-2.38775300859997,0,125
"106","6",6,-2.38775300859997,0,64
"107","7",6,-2.38775300859997,0,97
"108","8",6,-2.38775300859997,0,147
"109","9",6,-2.38775300859997,0,45
"110","10",6,-2.38775300859997,0,293
"111","1",6,-2.38775300859997,1,-90.1654418589149
"112","2",6,-2.38775300859997,1,0
"113","3",6,-2.38775300859997,1,0
"114","4",6,-2.38775300859997,1,100.506666332467
"115","5",6,-2.38775300859997,1,-11.0048631066604
"116","6",6,-2.38775300859997,1,45.4675405944146
"117","7",6,-2.38775300859997,1,357.1982307628
"118","8",6,-2.38775300859997,1,-22.0107867443537
"119","9",6,-2.38775300859997,1,45.2346890396905
"120","10",6,-2.38775300859997,1,-461.663021162589
"121","1",7,0.679905589187524,0,77
"122","2",7,0.679905589187524,0,46
"123","3",7,0.679905589187524,0,185
"124","4",7,0.679905589187524,0,246
"125","5",7,0.679905589187524,0,33
"126","6",7,0.679905589187524,0,22
"127","7",7,0.679905589187524,0,11
"128","8",7,0.679905589187524,0,0
"129","9",7,0.679905589187524,0,112
"130","10",7,0.679905589187524,0,230
"131","1",7,0.679905589187524,1,162.93706511814
"132","2",7,0.679905589187524,1,87.1033588197026
"133","3",7,0.679905589187524,1,105.636558562179
