"","species","run","run.env","time","pop"
"1","1",1,-0.412518218078634,0,71
"2","2",1,-0.412518218078634,0,90
"3","3",1,-0.412518218078634,0,361
"4","4",1,-0.412518218078634,0,96
"5","5",1,-0.412518218078634,0,48
"6","6",1,-0.412518218078634,0,108
"7","7",1,-0.412518218078634,0,0
"8","8",1,-0.412518218078634,0,46
"9","9",1,-0.412518218078634,0,276
"10","10",1,-0.412518218078634,0,168
"11","1",1,-0.412518218078634,1,73.2120092686487
"12","2",1,-0.412518218078634,1,41.3518778340278
"13","3",1,-0.412518218078634,1,91.1921854053287
"14","4",1,-0.412518218078634,1,68.2001834853142
"15","5",1,-0.412518218078634,1,23.7452131510398
"16","6",1,-0.412518218078634,1,94.850626945391
"17","7",1,-0.412518218078634,1,0
"18","8",1,-0.412518218078634,1,79.5477464526991
"19","9",1,-0.412518218078634,1,220.299707169182
"20","10",1,-0.412518218078634,1,41.0700931706659
"21","1",2,0.541416693331935,0,300
"22","2",2,0.541416693331935,0,2
"23","3",2,0.541416693331935,0,143
"24","4",2,0.541416693331935,0,108
"25","5",2,0.541416693331935,0,110
"26","6",2,0.541416693331935,0,136
"27","7",2,0.541416693331935,0,49
"28","8",2,0.541416693331935,0,134
"29","9",2,0.541416693331935,0,131
"30","10",2,0.541416693331935,0,47
"31","1",2,0.541416693331935,1,127.5952182203
"32","2",2,0.541416693331935,1,1.33472716846395
"33","3",2,0.541416693331935,1,0.700634073902943
"34","4",2,0.541416693331935,1,140.485933788642
"35","5",2,0.541416693331935,1,44.4893054817399
"36","6",2,0.541416693331935,1,100.50463412708
"37","7",2,0.541416693331935,1,70.8330625572475
"38","8",2,0.541416693331935,1,173.709717810357
"39","9",2,0.541416693331935,1,167.35505086112
"40","10",2,0.541416693331935,1,0.176147560700346
"41","1",3,-0.217538048368517,0,108
"42","2",3,-0.217538048368517,0,0
"43","3",3,-0.217538048368517,0,117
"44","4",3,-0.217538048368517,0,91
"45","5",3,-0.217538048368517,0,70
"46","6",3,-0.217538048368517,0,45
"47","7",3,-0.217538048368517,0,68
"48","8",3,-0.217538048368517,0,0
"49","9",3,-0.217538048368517,0,75
"50","10",3,-0.217538048368517,0,94
"51","1",3,-0.217538048368517,1,118.144546745916
"52","2",3,-0.217538048368517,1,0
"53","3",3,-0.217538048368517,1,58.3742232746298
"54","4",3,-0.217538048368517,1,95.3380910148517
"55","5",3,-0.217538048368517,1,39.0930700228926
"56","6",3,-0.217538048368517,1,60.712007468722
"57","7",3,-0.217538048368517,1,125.740963814578
"58","8",3,-0.217538048368517,1,0
"59","9",3,-0.217538048368517,1,126.495409760206
"60","10",3,-0.217538048368517,1,17.3838305535431
"61","1",4,-0.658219344775407,0,24
"62","2",4,-0.658219344775407,0,44
"63","3",4,-0.658219344775407,0,276
"64","4",4,-0.658219344775407,0,129
"65","5",4,-0.658219344775407,0,203
"66","6",4,-0.658219344775407,0,0
"67","7",4,-0.658219344775407,0,166
"68","8",4,-0.658219344775407,0,0
"69","9",4,-0.658219344775407,0,0
"70","10",4,-0.658219344775407,0,108
"71","1",4,-0.658219344775407,1,32.1294271998159
"72","2",4,-0.658219344775407,1,22.9949164803039
"73","3",4,-0.658219344775407,1,42.8784966856392
"74","4",4,-0.658219344775407,1,73.3117537072426
"75","5",4,-0.658219344775407,1,66.6316172566227
"76","6",4,-0.658219344775407,1,0
"77","7",4,-0.658219344775407,1,213.522804973145
"78","8",4,-0.658219344775407,1,0
"79","9",4,-0.658219344775407,1,0
"80","10",4,-0.658219344775407,1,66.6039659511977
"81","1",5,0.635975083202613,0,0
"82","2",5,0.635975083202613,0,85
"83","3",5,0.635975083202613,0,28
"84","4",5,0.635975083202613,0,113
"85","5",5,0.635975083202613,0,159
"86","6",5,0.635975083202613,0,39
"87","7",5,0.635975083202613,0,0
"88","8",5,0.635975083202613,0,35
"89","9",5,0.635975083202613,0,68
"90","10",5,0.635975083202613,0,0
"91","1",5,0.635975083202613,1,0
"92","2",5,0.635975083202613,1,53.9037318257421
"93","3",5,0.635975083202613,1,0.0914254684329899
"94","4",5,0.635975083202613,1,180.73250386993
"95","5",5,0.635975083202613,1,65.706414673949
"96","6",5,0.635975083202613,1,49.0929675872545
"97","7",5,0.635975083202613,1,0
"98","8",5,0.635975083202613,1,79.7355949705888
"99","9",5,0.635975083202613,1,136.623963675029
"100","10",5,0.635975083202613,1,0
